帖子,基础语句,评论,相关度
为什么要关羽毛球馆啊,大家都走了被关在学校里的人都有抑郁倾向刚被学长学姐教会打羽毛球球馆就关了啊啊啊啊啊干嘛啊这是要学校里都没人进来上哪去传染阳性啊老师都进不来了啊心里好难受啊啊啊啊能不能让我们打打球放松一下啊啊啊啊不犯法啊啊啊啊,哥们这可不兴发啊,0.0
为什么要关羽毛球馆啊,大家都走了被关在学校里的人都有抑郁倾向刚被学长学姐教会打羽毛球球馆就关了啊啊啊啊啊干嘛啊这是要学校里都没人进来上哪去传染阳性啊老师都进不来了啊心里好难受啊啊啊啊能不能让我们打打球放松一下啊啊啊啊不犯法啊啊啊啊,你也润,0.3587461
为什么要关羽毛球馆啊,大家都走了被关在学校里的人都有抑郁倾向刚被学长学姐教会打羽毛球球馆就关了啊啊啊啊啊干嘛啊这是要学校里都没人进来上哪去传染阳性啊老师都进不来了啊心里好难受啊啊啊啊能不能让我们打打球放松一下啊啊啊啊不犯法啊啊啊啊,女,0.0
为什么要关羽毛球馆啊,大家都走了被关在学校里的人都有抑郁倾向刚被学长学姐教会打羽毛球球馆就关了啊啊啊啊啊干嘛啊这是要学校里都没人进来上哪去传染阳性啊老师都进不来了啊心里好难受啊啊啊啊能不能让我们打打球放松一下啊啊啊啊不犯法啊啊啊啊,正常,0.0
为什么要关羽毛球馆啊,大家都走了被关在学校里的人都有抑郁倾向刚被学长学姐教会打羽毛球球馆就关了啊啊啊啊啊干嘛啊这是要学校里都没人进来上哪去传染阳性啊老师都进不来了啊心里好难受啊啊啊啊能不能让我们打打球放松一下啊啊啊啊不犯法啊啊啊啊,醒醒本部今天了,0.0
为什么要关羽毛球馆啊,大家都走了被关在学校里的人都有抑郁倾向刚被学长学姐教会打羽毛球球馆就关了啊啊啊啊啊干嘛啊这是要学校里都没人进来上哪去传染阳性啊老师都进不来了啊心里好难受啊啊啊啊能不能让我们打打球放松一下啊啊啊啊不犯法啊啊啊啊,不会一拳把地球干碎,0.0
为什么要关羽毛球馆啊,大家都走了被关在学校里的人都有抑郁倾向刚被学长学姐教会打羽毛球球馆就关了啊啊啊啊啊干嘛啊这是要学校里都没人进来上哪去传染阳性啊老师都进不来了啊心里好难受啊啊啊啊能不能让我们打打球放松一下啊啊啊啊不犯法啊啊啊啊,快润捏,0.0
为什么要关羽毛球馆啊,大家都走了被关在学校里的人都有抑郁倾向刚被学长学姐教会打羽毛球球馆就关了啊啊啊啊啊干嘛啊这是要学校里都没人进来上哪去传染阳性啊老师都进不来了啊心里好难受啊啊啊啊能不能让我们打打球放松一下啊啊啊啊不犯法啊啊啊啊,想被开除是吧,0.0
为什么要关羽毛球馆啊,大家都走了被关在学校里的人都有抑郁倾向刚被学长学姐教会打羽毛球球馆就关了啊啊啊啊啊干嘛啊这是要学校里都没人进来上哪去传染阳性啊老师都进不来了啊心里好难受啊啊啊啊能不能让我们打打球放松一下啊啊啊啊不犯法啊啊啊啊,你可以去楼那里地挺大的,0.0
这波什么说法,封学生天每天核酸学校里还是出了阳性出事了措施只有加大力度封学生给猪食学生是人吗,心怀感恩,0.0
这波什么说法,封学生天每天核酸学校里还是出了阳性出事了措施只有加大力度封学生给猪食学生是人吗,不是是绩效,0.0
这波什么说法,封学生天每天核酸学校里还是出了阳性出事了措施只有加大力度封学生给猪食学生是人吗,我也没想明白在学校出了吃饭做核酸我都没有出门的必要,0.0
这波什么说法,封学生天每天核酸学校里还是出了阳性出事了措施只有加大力度封学生给猪食学生是人吗,都已经尽可能往家赶了,0.0
这波什么说法,封学生天每天核酸学校里还是出了阳性出事了措施只有加大力度封学生给猪食学生是人吗,封校前一天都能走吧,0.0
这波什么说法,封学生天每天核酸学校里还是出了阳性出事了措施只有加大力度封学生给猪食学生是人吗,学校让你走你自己不走你怪谁,0.0
这波什么说法,封学生天每天核酸学校里还是出了阳性出事了措施只有加大力度封学生给猪食学生是人吗,可惜导师不让走,0.0
这波什么说法,封学生天每天核酸学校里还是出了阳性出事了措施只有加大力度封学生给猪食学生是人吗,学校让走了而且这周开始都开始轰人了四六级大概率延期现在比四五月还严重,0.0
这波什么说法,封学生天每天核酸学校里还是出了阳性出事了措施只有加大力度封学生给猪食学生是人吗,硕博是没办法本科生有啥好说的给那么长时间让你走你不走你要考四六级那就得有回不去的心理准备呗,0.0
这波什么说法,封学生天每天核酸学校里还是出了阳性出事了措施只有加大力度封学生给猪食学生是人吗,因为是老师了呢,0.0
这波什么说法,封学生天每天核酸学校里还是出了阳性出事了措施只有加大力度封学生给猪食学生是人吗,封了五天今早码变红了怎么说,0.0
